sid,name,cname
sz000686,东北证券,本月解禁
sz000732,泰禾集团,本月解禁
sz000883,湖北能源,本月解禁
sz002371,七星电子,本月解禁
sz002467,二六三,本月解禁
sz002468,艾迪西,本月解禁
sz002469,三维工程,本月解禁
sz002470,金正大,本月解禁
sz002471,中超控股,本月解禁
sz002472,双环传动,本月解禁
sz002473,圣莱达,本月解禁
sz002474,榕基软件,本月解禁
sz002475,立讯精密,本月解禁
sz002476,宝莫股份,本月解禁
sz002477,雏鹰农牧,本月解禁
sz002478,常宝股份,本月解禁
sz002479,富春环保,本月解禁
sz002480,新筑股份,本月解禁
sz002481,双塔食品,本月解禁
sz002482,广田股份,本月解禁
sz002483,润邦股份,本月解禁
sz002484,江海股份,本月解禁
sz002617,露笑科技,本月解禁
sz002649,博彦科技,本月解禁
sz002658,雪迪龙,本月解禁
sz002663,普邦园林,本月解禁
sz002665,首航节能,本月解禁
sz002695,煌上煌,本月解禁
sz002696,百洋股份,本月解禁
sz002697,红旗连锁,本月解禁
sz002698,博实股份,本月解禁
sz002699,美盛文化,本月解禁
sz002700,新疆浩源,本月解禁
sz300115,长盈精密,本月解禁
sz300116,坚瑞消防,本月解禁
sz300117,嘉寓股份,本月解禁
sz300118,东方日升,本月解禁
sz300119,瑞普生物,本月解禁
sz300120,经纬电材,本月解禁
sz300121,阳谷华泰,本月解禁
sz300122,智飞生物,本月解禁
sz300123,太阳鸟,本月解禁
sz300124,汇川技术,本月解禁
sz300157,恒泰艾普,本月解禁
sz300265,通光线缆,本月解禁
sz300268,万福生科,本月解禁
sz300302,同有科技,本月解禁
sz300309,吉艾科技,本月解禁
sz300352,北信源,本月解禁
sz300353,东土科技,本月解禁
sz300354,东华测试,本月解禁
sz300355,蒙草抗旱,本月解禁
sh600185,DR格力地,粤港澳
sh600325,华发股份,粤港澳
sh600428,中远航运,粤港澳
sh600685,中船防务,粤港澳
sh600894,广日股份,粤港澳
sz000006,深振业Ａ,粤港澳
sz000011,深物业A,粤港澳
sz000014,沙河股份,粤港澳
sz000020,深华发Ａ,粤港澳
sz000023,深天地Ａ,粤港澳
sz000029,深深房Ａ,粤港澳
sz000036,华联控股,粤港澳
sz000039,中集集团,粤港澳
sz000042,中洲控股,粤港澳
sz000055,方大集团,粤港澳
